When comparing objects like Strings, the Equality Operator (==) compares what?|The content (text) of the objects.|References (memory locations) of the objects.|The data types.|The length of the objects.|References (memory locations) of the objects.
Which principle is best demonstrated by a public Interface that exposes a small set of methods while concealing the complex business logic of its implementing private class?|Cohesion|Inheritance|Polymorphism|Abstraction|Abstraction
In Java, which feature enables a single class or method to operate on objects of various types while maintaining compile-time type safety?|Method Overloading|Generics|Type Casting|Method Overriding|Generics
Which pair of concepts describes the trade-off between how focused a class is on a single responsibility versus how dependent it is on other classes?|Abstract/Concrete|Public/Private|Cohesion/Coupling|Subclass/Superclass|Cohesion/Coupling
The primary design goal of using Encapsulation (private fields + public getters/setters) is to prevent what?|Recursive calls.|Memory leaks.|Direct data corruption.|Compilation errors.|Direct data corruption.
A static field in a Java class is loaded into memory when the class is loaded, making its state|Thread-local and unique.|Shared across all instances and threads.|Immutable at runtime.|Accessible only via reflection.|Shared across all instances and threads.
What is the fundamental difference between a Checked Exception (like IOException) and an Unchecked Exception (like NullPointerException)?|Checked exceptions can be caught, unchecked cannot.|Checked exceptions must be declared or caught, unchecked are optional.|Checked exceptions occur at runtime, unchecked at compile time.|Unchecked exceptions relate to I/O, checked relate to logic.|Checked exceptions must be declared or caught, unchecked are optional.
Why is the @Override annotation considered a best practice when a subclass redefines a parent's method?|It makes the method run faster.|It automatically handles type casting.|It prevents a logic error if the method signature is misspelled.|It enforces private visibility.|It prevents a logic error if the method signature is misspelled.
A program successfully compiles but crashes when it tries to access an element at an index that doesn't exist. This is a classic example of a|Syntax Error|Logical Design Error|Compile-Time Error|Runtime Exception (Error)|Runtime Exception (Error)
Which version control action should be used to securely integrate changes from a feature branch back into the main branch, creating a new commit?|Push|Fetch|Rebase|Merge|Merge
What is the primary technical advantage of using the StringBuilder class over repeated string concatenation (+) in a loop?|It allows for lazy loading of resources.|It is a mutable object, preventing the creation of new objects.|It automatically handles thread synchronization.|It provides immediate casting capabilities.|It is a mutable object, preventing the creation of new objects.
Which of the following scenarios best demonstrates Method Overloading?|A subclass providing an implementation for an abstract method.|Two methods in the same class having the same name but different return types.|Two methods in the same class having the same name but different parameter lists.|A method that is declared as final and cannot be changed.|Two methods in the same class having the same name but different parameter lists.
The primary purpose of the Manifest File within a JAR archive is to tell the Java Runtime Environment (JRE) what?|Which external libraries are required.|The location of the main execution class.|The maximum memory allocation (heap size).|The version of the Java compiler used.|The location of the main execution class.
In the context of the Java Virtual Machine (JVM), what is the immediate purpose of Bytecode?|To be executed directly by the CPU.|To serve as an intermediate, platform-independent instruction set.|To replace the operating system's kernel.|To compile the source code into a native executable.|To serve as an intermediate, platform-independent instruction set.
What is the most significant constraint imposed by the DRY (Don't Repeat Yourself) principle in software architecture?|Preventing the use of comments in code.|Minimizing the number of class files in a project.|Ensuring every piece of knowledge has a single, unambiguous, authoritative representation.|Restricting the use of public visibility.|Ensuring every piece of knowledge has a single, unambiguous, authoritative representation.
What type of memory is used for the execution stack, local variables, and method call frames?|Heap Memory|Persistent Storage|Volatile Memory|Stack Memory|Stack Memory
Which I/O class, if not closed properly after use, can lead to a resource leak and potentially file system corruption?|String|System|Scanner|Math|Scanner
What does the term Polymorphism fundamentally allow in an object-oriented design?|Allowing multiple classes to have identical names.|Allowing an object to take on many forms via a superclass or interface reference.|Allowing a child class to inherit fields but not methods.|Allowing method calls to be resolved at compile time only.|Allowing an object to take on many forms via a superclass or interface reference.
Why are Field/Property variables typically declared as private in a well-designed class?|To allow direct modification from any external class.|To maximize performance by minimizing overhead.|To enable Encapsulation and control modification via Setter methods.|To prevent them from being inherited by subclasses.|To enable Encapsulation and control modification via Setter methods.
Which Java keyword prevents a class from being subclassed?|final|abstract|static|sealed|final
What is the output when comparing two String objects with identical content using equals()?|false|true|null|undefined|true
When a subclass defines a constructor, but the superclass does not have a no-argument constructor, what must the subclass do?|Call super() explicitly with arguments.|Omit all constructors.|Define a static block.|Use this() instead of super().|Call super() explicitly with arguments.
If a method is declared 'final' in a superclass, subclasses can|Override it.|Overload it.|Hide it using static.|Not override it.|Not override it.
The term 'tight coupling' refers to what design flaw?|Classes that depend heavily on one another.|Classes that share no functionality.|Classes that use only interfaces.|Classes that are immutable.|Classes that depend heavily on one another.
Which statement best describes the use of 'instanceof' in Java?|It checks if an object is of a specific type at runtime.|It checks for null references.|It compares object equality.|It creates a copy of an object.|It checks if an object is of a specific type at runtime.
What is the result of calling 'super.toString()' inside a subclass method?|It invokes the subclass’s toString() again.|It invokes the superclass version of toString().|It throws a runtime error.|It prints the memory address.|It invokes the superclass version of toString().
Which collection does NOT allow duplicate elements?|ArrayList|LinkedList|HashSet|TreeMap|HashSet
A 'try-with-resources' statement is primarily used to|Handle compile-time errors.|Automatically close AutoCloseable resources.|Convert checked exceptions to unchecked ones.|Reuse static resources.|Automatically close AutoCloseable resources.
Which method of Object class is used for object comparison?|hashCode()|equals()|compare()|getClass()|equals()
What is the relationship between hashCode() and equals()?|If two objects are equal, their hashCodes must also be equal.|If two objects have equal hashCodes, they must be equal.|They are unrelated.|hashCode() compares references only.|If two objects are equal, their hashCodes must also be equal.
Which Stream operation terminates the pipeline and produces a final result?|map()|filter()|collect()|sorted()|collect()
What is the main advantage of using 'Optional<T>' in Java?|It improves performance.|It avoids null pointer exceptions by explicitly representing absence.|It enforces abstract class use.|It compiles faster.|It avoids null pointer exceptions by explicitly representing absence.
A class that implements multiple interfaces with the same method signature must|Choose one implementation using super().|Provide a single overriding implementation.|Fail compilation automatically.|Call the interface constructor.|Provide a single overriding implementation.
Which keyword can be used to restrict subclass access to constructors in inheritance hierarchies?|private|protected|final|default|protected
The 'reduce()' method in Streams performs what function?|Accumulates elements into one result using a BinaryOperator.|Transforms each element in a stream.|Filters elements.|Sorts by comparator.|Accumulates elements into one result using a BinaryOperator.
Which of the following demonstrates dependency inversion?|High-level modules depending on abstractions rather than concrete classes.|Subclasses depending directly on their superclasses.|Using static imports for constants.|Overriding equals() in Object.|High-level modules depending on abstractions rather than concrete classes.
What is the key difference between composition and inheritance?|Composition uses delegation, while inheritance extends behavior.|Composition enforces class hierarchy.|Inheritance is more flexible.|Composition requires abstract classes.|Composition uses delegation, while inheritance extends behavior.
Which design pattern allows creating families of related objects without specifying their concrete classes?|Observer|Factory|Adapter|Decorator|Factory
The 'volatile' keyword ensures what about a variable?|It cannot be modified.|It is thread-safe and always read from main memory.|It cannot be inherited.|It’s immutable.|It is thread-safe and always read from main memory.
